"id","breed_primary","breed_secondary","age","sex","name","size","original_state","final_state","file"
45912782,"Weimaraner","Hound","Baby","Female","Ruby","Medium","Alabama","Pennsylvania","greyhound"
45910327,"Weimaraner","Hound","Baby","Female","Roxie","Medium","Alabama","Pennsylvania","greyhound"
45893802,"Beagle","Corgi","Baby","Female","Magnolia","Small","Alabama","Pennsylvania","beagle"
45893805,"Beagle","Corgi","Baby","Female","Madison","Medium","Alabama","Pennsylvania","beagle"
45893807,"Beagle",,"Baby","Female","Molly","Medium","Alabama","Pennsylvania","beagle"
45893808,"Shih Tzu",,"Baby","Male","Finn","Small","Alabama","Pennsylvania","shih-tzu"
45893801,"Australian Shepherd","Australian Cattle Dog / Blue Heeler","Baby","Male","Blaze","Medium","Alabama","Pennsylvania","australian-shepherd"
45886341,"Labrador Retriever","Terrier","Baby","Female","Pepper B","Medium","Alabama","Pennsylvania","labrador"
45886201,"Bloodhound","Black and Tan Coonhound","Baby","Female","Roxie B","Medium","Alabama","Pennsylvania","basset"
45875089,"German Shepherd Dog",,"Baby","Female","Peanut Butter Fudge B","Medium","Alabama","Pennsylvania","german-shepherd"
45864102,"Labrador Retriever","Golden Retriever","Young","Male","Aiden  B","Medium","Alabama","Pennsylvania","labrador"
45862957,"Chihuahua",,"Young","Female","Pippin B Sweet girl","Small","Alabama","Pennsylvania","chihuahua"
45862591,"Chihuahua",,"Young","Male","Lambchop B","Small","Alabama","Pennsylvania","chihuahua"
45859158,"Yorkshire Terrier",,"Baby","Female","Tiffany","Small","Alabama","Pennsylvania","yorkshire-terrier"
45856136,"Dachshund",,"Young","Male","Greer B","Small","Alabama","Pennsylvania","dachshund"
45852474,"Cattle Dog","Beagle","Baby","Male","Ponce B","Medium","Alabama","Pennsylvania","australian-shepherd"
45851302,"Golden Retriever","Labrador Retriever","Baby","Female","Misha B","Medium","Alabama","Pennsylvania","golden-retriever"
45833853,"Hound","Labrador Retriever","Baby","Male","Dallas B","Medium","Alabama","Pennsylvania","beagle"
45800805,"Brussels Griffon","Chihuahua","Baby","Female","Zelda","Medium","Alabama","Pennsylvania","shih-tzu"
45800695,"Chihuahua",,"Baby","Male","Loki","Small","Alabama","Pennsylvania","chihuahua"
45795577,"Chihuahua",,"Baby","Female","Daisey","Small","Alabama","Pennsylvania","chihuahua"
45795249,"Chihuahua",,"Baby","Female","Maxine","Small","Alabama","Pennsylvania","chihuahua"
45795175,"Chihuahua","Corgi","Adult","Male","Mr. Pearson","Small","Alabama","Pennsylvania","chihuahua"
45782860,"German Shepherd Dog","Great Pyrenees","Baby","Male","Leif B","Large","Alabama","Pennsylvania","german-shepherd"
45782390,"American Bulldog","English Bulldog","Baby","Male","Bullfrog B","Medium","Alabama","Pennsylvania","bulldog"
45782158,"Cattle Dog","American Bulldog","Baby","Female","Bell B","Medium","Alabama","Pennsylvania","australian-shepherd"
45758829,"Chihuahua","Rat Terrier","Baby","Male","Scooter B 6 lbs. Lap baby","Small","Alabama","Pennsylvania","chihuahua"
45745040,"German Shepherd Dog","Labrador Retriever","Baby","Female","Neela B","Medium","Alabama","Pennsylvania","german-shepherd"
45743583,"Hound","Labrador Retriever","Young","Male","Jimbo B","Medium","Alabama","Pennsylvania","beagle"
45737114,"Basset Hound",,"Baby","Female","Amelia","Medium","Alabama","Pennsylvania","basset"
45735578,"Labrador Retriever","Spaniel","Baby","Female","Eerie","Medium","Alabama","Pennsylvania","labrador"
45734907,"Shepherd","Hound","Adult","Female","Pudding","Medium","Alabama","Pennsylvania","german-shepherd"
45717641,"Chihuahua","Dachshund","Baby","Male","Tiny Tim B  5lbs","Small","Alabama","Pennsylvania","chihuahua"
45698944,"Chihuahua","Terrier","Baby","Female","Bristol B 6 lbs of love","Small","Alabama","Pennsylvania","chihuahua"
45697234,"Labrador Retriever","Mixed Breed","Young","Female","Rihanna B","Medium","Alabama","Pennsylvania","labrador"
45696700,"Flat-Coated Retriever","Labrador Retriever","Young","Male","Maxwell B great boy","Medium","Alabama","Pennsylvania","labrador"
45612409,"Labrador Retriever","Cattle Dog","Young","Female","Mackenzie  B","Medium","Alabama","Pennsylvania","labrador"
45596342,"Labrador Retriever","Shepherd","Baby","Female","Aliena","Medium","Alabama","Pennsylvania","labrador"
45583450,"Labrador Retriever","Shepherd","Baby","Female","Alicia","Medium","Alabama","Pennsylvania","labrador"
45578378,"Australian Shepherd","Border Collie","Baby","Female","Leeya","Medium","Alabama","Pennsylvania","australian-shepherd"
45577864,"Terrier","Chihuahua","Baby","Female","Amia B","Medium","Alabama","Pennsylvania","schnauzer"
45577777,"Chihuahua",,"Young","Male","Saber B","Small","Alabama","Pennsylvania","chihuahua"
45570936,"Labrador Retriever","Shepherd","Baby","Male","Spencer","Medium","Alabama","Pennsylvania","labrador"
45560497,"Labrador Retriever","Terrier","Baby","Female","Jacklyn","Medium","Alabama","Pennsylvania","labrador"
45560498,"Labrador Retriever","Terrier","Baby","Male","Manny","Medium","Alabama","Pennsylvania","labrador"
45555288,"Husky","Beagle","Young","Female","Pretty B","Medium","Alabama","Pennsylvania","husky"
45554252,"Shepherd","Mountain Cur","Baby","Female","Octavia B","Medium","Alabama","Pennsylvania","german-shepherd"
45554209,"German Shepherd Dog","Beagle","Baby","Female","Marina B","Medium","Alabama","Pennsylvania","german-shepherd"
45554124,"Labrador Retriever","Shepherd","Baby","Female","Kaitlyn B","Medium","Alabama","Pennsylvania","labrador"
45518854,"Black Labrador Retriever",,"Baby","Male","Drew B","Medium","Alabama","Pennsylvania","labrador"
45502346,"Maltese","Terrier","Young","Male","Troyce B","Small","Alabama","Pennsylvania","maltese"
45396387,"Hound","Rhodesian Ridgeback","Baby","Male","Chuck","Medium","Alabama","Pennsylvania","beagle"
45389189,"Labrador Retriever","Cattle Dog","Young","Male","Hero B","Medium","Alabama","Pennsylvania","labrador"
45384550,"Labrador Retriever",,"Baby","Female","Birdie","Large","Alabama","Pennsylvania","labrador"
45384497,"Labrador Retriever",,"Baby","Female","Alawna","Medium","Alabama","Pennsylvania","labrador"
45373187,"Australian Cattle Dog / Blue Heeler",,"Young","Female","Bunjee B","Medium","Alabama","Pennsylvania","australian-shepherd"
45373060,"Australian Shepherd",,"Young","Female","Conja B","Medium","Alabama","Pennsylvania","australian-shepherd"
45361590,"Labrador Retriever",,"Baby","Female","Addison B","Medium","Alabama","Pennsylvania","labrador"
45340766,"Labrador Retriever","Terrier","Young","Male","Drizzle B","Medium","Alabama","Pennsylvania","labrador"
45333927,"Chihuahua",,"Young","Female","Sagen B","Small","Alabama","Pennsylvania","chihuahua"
45328545,"Shih Tzu","Lhasa Apso","Senior","Male","Marley","Medium","Alabama","Pennsylvania","shih-tzu"
45309039,"Retriever",,"Baby","Male","Hoss","Medium","Alabama","Pennsylvania","golden-retriever"
45297941,"Pit Bull Terrier","Terrier","Baby","Female","Lola","Medium","Alabama","Pennsylvania","pitbull"
45295923,"Labrador Retriever","Spaniel","Baby","Female","Jackie   A Sweetie!!!","Medium","Alabama","Pennsylvania","labrador"
45295186,"Cairn Terrier","Labrador Retriever","Young","Female","Gabbie B","Medium","Alabama","Pennsylvania","scottish-terrier"
45295090,"Labrador Retriever","Border Collie","Young","Female","Bella B lower fee","Medium","Alabama","Pennsylvania","labrador"
45196358,"Labrador Retriever","Shepherd","Young","Female","Soleil B","Medium","Alabama","Pennsylvania","labrador"
45175065,"Husky","Australian Shepherd","Young","Male","Andy B","Medium","Alabama","Pennsylvania","husky"
45175024,"Chihuahua","Miniature Pinscher","Adult","Male","Rebel","Small","Alabama","Pennsylvania","chihuahua"
45174921,"Chihuahua","Dachshund","Baby","Male","Buckaroo","Medium","Alabama","Pennsylvania","chihuahua"
45161364,"Shar-Pei","Labrador Retriever","Adult","Female","Wig","Medium","Alabama","Pennsylvania","shar-pei"
45116925,"Black Labrador Retriever","Shepherd","Young","Male","Dale B Loves water LOWER FEE","Medium","Alabama","Pennsylvania","labrador"
45090373,"Australian Cattle Dog / Blue Heeler","Shepherd","Adult","Male","Wiley","Medium","Alabama","Pennsylvania","australian-shepherd"
45086946,"Black Labrador Retriever",,"Young","Male","Peyton B lower fee","Medium","Alabama","Pennsylvania","labrador"
45086030,"Cattle Dog",,"Young","Male","Rogan B","Medium","Alabama","Pennsylvania","australian-shepherd"
45004309,"Labrador Retriever","Boxer","Young","Male","Tater B","Medium","Alabama","Pennsylvania","labrador"
45003822,"Labrador Retriever","Golden Retriever","Young","Female","Roselind B sweet soul","Medium","Alabama","Pennsylvania","labrador"
45002783,"Beagle",,"Baby","Female","Ventura B lower fee","Medium","Alabama","Pennsylvania","beagle"
44846634,"Black Labrador Retriever",,"Young","Male","Woody B","Medium","Alabama","Pennsylvania","labrador"
44844263,"Chihuahua",,"Adult","Male","Hansel","Small","Alabama","Pennsylvania","chihuahua"
44809439,"German Shepherd Dog",,"Young","Male","Bailey R","Medium","Alabama","Pennsylvania","german-shepherd"
44483524,"Pit Bull Terrier","Border Collie","Baby","Female","Margo","Medium","Alabama","Pennsylvania","pitbull"
44483525,"Shepherd","Hound","Adult","Female","Piper","Medium","Alabama","Pennsylvania","german-shepherd"
44425818,"American Bulldog","Labrador Retriever","Young","Male","Jackson  B","Large","Alabama","Pennsylvania","bulldog"
44204202,"Labrador Retriever","Terrier","Young","Female","Wanda B lower fee","Medium","Alabama","Pennsylvania","labrador"
44176504,"Labrador Retriever","Hound","Baby","Female","Ginger","Medium","Alabama","Pennsylvania","labrador"
44088124,"Anatolian Shepherd",,"Adult","Male","Beau","Medium","Alabama","Pennsylvania","german-shepherd"
44046739,"Labrador Retriever","Collie","Adult","Female","Bella","Medium","Alabama","Pennsylvania","labrador"
43477356,"Shepherd","Labrador Retriever","Young","Male","Radhe B housebroke,  crate trained. lower fee","Medium","Alabama","Pennsylvania","german-shepherd"
43458250,"Terrier","American Bulldog","Baby","Male","Thor B lower fee","Medium","Alabama","Pennsylvania","schnauzer"
43143189,"Hound","Labrador Retriever","Adult","Female","Annabelle B Lower fee","Medium","Alabama","Pennsylvania","beagle"
42707376,"Shepherd","Hound","Baby","Female","Francesca","Medium","Alabama","Pennsylvania","german-shepherd"
42549629,"Labrador Retriever","Australian Cattle Dog / Blue Heeler","Young","Male","Gunner B lower fee","Medium","Alabama","Pennsylvania","labrador"
45837663,"Australian Cattle Dog / Blue Heeler",,"Adult","Female","Sassy","Medium","Alabama","Florida","australian-shepherd"
45638183,"Basenji",,"Young","Male","Tom","Medium","Alabama","Florida","shiba-inu"
45268666,"Beagle",,"Young","Male","Fuzz","Medium","Alabama","Florida","beagle"
45025738,"Pug","Beagle","Adult","Male","Ralphie","Medium","Alabama","Florida","pug"
45243120,"Labrador Retriever","Boxer","Young","Male","Scout","Medium","Alabama","Georgia","labrador"
45889477,"Pit Bull Terrier",,"Adult","Female","Feebee","Medium","Alabama","Maine","pitbull"
45852482,"Jack Russell Terrier",,"Adult","Female","Freddie","Small","Alabama","New Hampshire","jack-russell"
46037743,"Chihuahua",,"Adult","Male","Bean","Small","Alabama","Michigan","chihuahua"
46004496,"Schnauzer",,"Adult","Male","Roland","Small","Alabama","Michigan","schnauzer"
46004335,"Boxer",,"Young","Female","Shilo","Medium","Alabama","Michigan","boxer"
45922830,"Boxer",,"Adult","Female","Rose","Large","Alabama","Michigan","boxer"
45153374,"Shepherd",,"Young","Male","Walker","Large","Alabama","Michigan","german-shepherd"
45419523,"Boxer",,"Adult","Male","Baxter","Medium","Alabama","Minnesota","boxer"
44184912,"Mixed Breed",,"Adult","Male","Chevy","Medium","Alabama","Vermont","mix"
45740450,"Boxer",,"Young","Male","Tyson","Medium","Alabama","Pennsylvania","boxer"
45182215,"Catahoula Leopard Dog",,"Senior","Female","BEAUTIFUL BROWNIE","Medium","Alabama","Tennessee","australian-shepherd"
24067313,"Shepherd",,"Senior","Female","Boots","Large","Alabama","Tennessee","german-shepherd"
24067288,"Mountain Cur",,"Senior","Female","Bits","Large","Alabama","Tennessee","labrador"
46015189,"Terrier","Hound","Young","Male","Rocket","Medium","Alabama","Wisconsin","schnauzer"
45901219,"Labrador Retriever",,"Baby","Female","Pocahontas","Medium","Alabama","Vermont","labrador"
44906501,"Feist","Labrador Retriever","Young","Male","Caper","Medium","Alabama","Vermont","jack-russell"
44906474,"Australian Cattle Dog / Blue Heeler","Labrador Retriever","Young","Female","Willa","Large","Alabama","Vermont","australian-shepherd"
44906301,"German Shepherd Dog",,"Baby","Female","Gypsie","Medium","Alabama","New York","german-shepherd"
42857230,"German Shepherd Dog",,"Baby","Female","Athena","Medium","Alabama","Vermont","german-shepherd"
42613510,"German Shepherd Dog",,"Baby","Female","Beth","Medium","Alabama","New York","german-shepherd"
41469511,"Hound","Labrador Retriever","Young","Male","Hotchner","Medium","Alabama","Vermont","beagle"
41469289,"Hound","Labrador Retriever","Young","Male","Derrick","Medium","Alabama","Vermont","beagle"
