"doc_id","text","ent_type","start_id","length","id"
"text1","Tuba City","GPE",2,2,"45962487"
"text1","Tulsa","GPE",5,1,"45887898"
"text1","Arizona","GPE",7,1,"45784537"
"text1","Arizona","GPE",7,1,"45784531"
"text1","Chihuahua","GPE",3,1,"45672267"
"text1","Thailand","GPE",3,1,"45671928"
"text1","New Mexico","GPE",7,2,"45665744"
"text1","Veterinarian","GPE",3,1,"45613283"
"text1","Las Vegas","GPE",2,2,"45419466"
"text1","Halo","GPE",2,1,"45405588"
"text1","South Carolina","GPE",2,2,"45398590"
"text1","Tucson","GPE",16,1,"45278179"
"text1","South Carolina","GPE",2,2,"45201939"
"text1","Petsmart","GPE",2,1,"45024417"
"text1","Petsmart","GPE",2,1,"45024417"
"text1","Petsmart","GPE",2,1,"45024420"
"text1","Petsmart","GPE",2,1,"45024421"
"text1","Petsmart","GPE",2,1,"45024421"
"text1","Maricopa County","GPE",3,2,"44663800"
"text1","Phoenix","GPE",6,1,"44358847"
"text1","West County","GPE",3,2,"44358805"
"text1","Texas","GPE",6,1,"43979294"
"text1","NM","GPE",2,1,"43891211"
"text1","Saudi Arabia","GPE",2,2,"43774052"
"text1","Ohana","GPE",2,1,"43689173"
"text1","Queensland","GPE",13,1,"43469177"
"text1","County","GPE",2,1,"43284268"
"text1","Arizona","GPE",23,1,"41850752"
"text1","Mexico","GPE",6,1,"41655318"
"text1","Egypt","GPE",2,1,"38705887"
"text1","Phoenix","GPE",7,1,"38055346"
"text1","Tennessee","GPE",7,1,"30062667"
"text1","Pine top","GPE",6,2,"29481512"
"text1","Phoenix","GPE",4,1,"27232257"
"text1","Tracy","GPE",2,1,"46039309"
"text1","Tijuana","GPE",2,1,"45591343"
"text1","Mexico","GPE",4,1,"45591343"
"text1","Tracy","GPE",2,1,"45486041"
"text1","San Jose","GPE",3,2,"44840088"
"text1","Tracy","GPE",3,1,"43767361"
"text1","Fresno","GPE",2,1,"37794968"
"text1","Fresno","GPE",2,1,"37794964"
"text1","Ute","GPE",3,1,"46039420"
"text1","Cortez","GPE",6,1,"46039420"
"text1","NM","GPE",8,1,"46039420"
"text1","Colorado","GPE",20,1,"46039420"
"text1","New Mexico","GPE",3,2,"46033460"
"text1","Texas","GPE",6,1,"46022257"
"text1","Texas","GPE",6,1,"46022034"
"text1","Texas","GPE",6,1,"46021283"
"text1","Texas","GPE",2,1,"46016365"
"text1","Samaritan","GPE",9,1,"46016365"
"text1","NM","GPE",5,1,"45989316"
"text1","New Mexico","GPE",5,2,"45986217"
"text1","Arkansas","GPE",6,1,"45983777"
"text1","Colorado","GPE",23,1,"45983777"
"text1","Arkansas","GPE",2,1,"45969705"
"text1","Panda","GPE",10,1,"45949510"
"text1","San Antonio","GPE",5,2,"45947117"
"text1","Roswell","GPE",2,1,"45945379"
"text1","NM","GPE",4,1,"45945379"
"text1","Alabama","GPE",2,1,"45945049"
"text1","Alabama","GPE",2,1,"45945048"
"text1","Texas","GPE",2,1,"45939809"
"text1","Texas","GPE",14,1,"45917574"
"text1","Texas","GPE",2,1,"45910285"
"text1","Longmont","GPE",7,1,"45909767"
"text1","San Antonio","GPE",5,2,"45902408"
"text1","San Antonio","GPE",5,2,"45902101"
"text1","San Antonio","GPE",5,2,"45902057"
"text1","San Antonio","GPE",5,2,"45902032"
"text1","San Antonio","GPE",8,2,"45901815"
"text1","San Antonio","GPE",5,2,"45901420"
"text1","San Antonio","GPE",5,2,"45901225"
